,Buchungstag,Betrag,Kategorie
339,2018-12-27,7.5,Nahrung & Verbrauchsartikel
340,2018-12-27,3.58,Nahrung & Verbrauchsartikel
341,2018-12-27,11.22,Nahrung & Verbrauchsartikel
342,2018-12-27,1.51,Nahrung & Verbrauchsartikel
343,2018-12-27,1.5,Transport
344,2018-12-27,48.0,Miete & laufende Verträge
345,2018-12-27,260.0,Miete & laufende Verträge
346,2018-12-20,16.2,Nahrung & Verbrauchsartikel
347,2018-12-20,6.25,Kleidung & Accessoires
348,2018-12-20,12.25,Kleidung & Accessoires
349,2018-12-20,22.99,Kleidung & Accessoires
350,2018-12-19,2.75,Nahrung & Verbrauchsartikel
351,2018-12-19,3.79,Nahrung & Verbrauchsartikel
352,2018-12-19,22.0,Unterhaltung
353,2018-12-19,12.59,Technik
354,2018-12-18,10.53,Nahrung & Verbrauchsartikel
355,2018-12-17,5.4,Transport
356,2018-12-17,34.93,Möbel & Einrichtung
357,2018-12-14,8.0,Nahrung & Verbrauchsartikel
358,2018-12-14,26.26,Miete & laufende Verträge
359,2018-12-14,33.28,Technik
360,2018-12-14,13.99,Unterhaltung
361,2018-12-13,2.84,Nahrung & Verbrauchsartikel
362,2018-12-12,28.8,Dienstleistungen & Gebühren
363,2018-12-12,150.0,Technik
364,2018-12-11,5.01,Nahrung & Verbrauchsartikel
365,2018-12-11,1.5,Transport
366,2018-12-11,19.63,Nahrung & Verbrauchsartikel
367,2018-12-11,1.0,Nahrung & Verbrauchsartikel
368,2018-12-11,10.0,Miete & laufende Verträge
369,2018-12-11,57.97,Nahrung & Verbrauchsartikel
370,2018-12-11,12.0,Dienstleistungen & Gebühren
371,2018-12-10,2.7,Transport
372,2018-12-10,5.4,Transport
373,2018-12-10,33.0,Miete & laufende Verträge
374,2018-12-10,16.49,Kleidung & Accessoires
375,2018-12-07,35.89,Transport
376,2018-12-07,6.79,Nahrung & Verbrauchsartikel
377,2018-12-06,4.6,Nahrung & Verbrauchsartikel
378,2018-12-06,154.15,Transport
379,2018-12-06,84.0,Miete & laufende Verträge
380,2018-12-06,23.0,Nahrung & Verbrauchsartikel
381,2018-12-06,0.29,Nahrung & Verbrauchsartikel
382,2018-12-06,2.68,Nahrung & Verbrauchsartikel
383,2018-12-06,22.98,Kleidung & Accessoires
384,2018-12-06,18.0,Kleidung & Accessoires
385,2018-12-06,14.53,Nahrung & Verbrauchsartikel
386,2018-12-06,15.0,Kleidung & Accessoires
387,2018-12-05,19.99,Kleidung & Accessoires
388,2018-12-05,29.95,Technik
389,2018-12-05,13.5,Technik
390,2018-12-04,1.29,Nahrung & Verbrauchsartikel
391,2018-12-04,8.26,Nahrung & Verbrauchsartikel
392,2018-12-04,81.96,Möbel & Einrichtung
393,2018-12-04,24.78,Möbel & Einrichtung
394,2018-12-03,10.5,Unterhaltung
395,2018-12-03,44.89,Miete & laufende Verträge
396,2018-12-03,2.99,Nahrung & Verbrauchsartikel
397,2018-12-03,10.9,Nahrung & Verbrauchsartikel
398,2018-12-03,88.65,Unterhaltung
399,2018-12-03,5.0,Unbekannt & Bargeld
400,2018-11-30,3.0,Dienstleistungen & Gebühren
401,2018-11-30,8.6,Transport
402,2018-11-30,15.0,Dienstleistungen & Gebühren
403,2018-11-30,1.29,Nahrung & Verbrauchsartikel
404,2018-11-30,34.89,Kleidung & Accessoires
405,2018-11-30,29.97,Kleidung & Accessoires
406,2018-11-30,127.45,Transport
407,2018-11-29,1.39,Nahrung & Verbrauchsartikel
408,2018-11-29,35.0,Miete & laufende Verträge
409,2018-11-29,10.0,Miete & laufende Verträge
410,2018-11-28,129.0,Möbel & Einrichtung
411,2018-11-28,0.6,Nahrung & Verbrauchsartikel
412,2018-11-28,3.59,Unterhaltung
413,2018-11-28,17.87,Unbekannt & Bargeld
414,2018-11-28,32.99,Kleidung & Accessoires
415,2018-11-27,0.2,Nahrung & Verbrauchsartikel
416,2018-11-27,0.99,Nahrung & Verbrauchsartikel
417,2018-11-27,349.99,Technik
418,2018-11-27,29.49,Möbel & Einrichtung
419,2018-11-27,19.52,Möbel & Einrichtung
420,2018-11-27,29.68,Nahrung & Verbrauchsartikel
421,2018-11-27,49.88,Kleidung & Accessoires
422,2018-11-26,5.4,Transport
423,2018-11-26,260.0,Miete & laufende Verträge
424,2018-11-23,70.3,Transport
425,2018-11-22,3.78,Nahrung & Verbrauchsartikel
426,2018-11-20,4.0,Nahrung & Verbrauchsartikel
427,2018-11-20,89.6,Transport
428,2018-11-19,80.0,Unbekannt & Bargeld
429,2018-11-19,11.5,Unterhaltung
430,2018-11-19,5.4,Transport
431,2018-11-19,11.78,Nahrung & Verbrauchsartikel
432,2018-11-16,62.8,Transport
433,2018-11-15,27.89,Miete & laufende Verträge
434,2018-11-15,47.52,Kleidung & Accessoires
435,2018-11-14,6.9,Nahrung & Verbrauchsartikel
436,2018-11-14,59.95,Kleidung & Accessoires
437,2018-11-14,13.99,Unterhaltung
438,2018-11-13,3.01,Kleidung & Accessoires
439,2018-11-13,27.89,Kleidung & Accessoires
440,2018-11-13,8.7,Nahrung & Verbrauchsartikel
441,2018-11-12,127.3,Kleidung & Accessoires
442,2018-11-12,50.0,Unbekannt & Bargeld
443,2018-11-12,5.4,Transport
444,2018-11-12,10.0,Miete & laufende Verträge
